Category,ItemCode,ItemName,ItemTier,Item Description,PurchaseCost,Width,Height,Weight,KorName
ID_10_NaturalResource,1000,Wood,0,불이 잘 붙을 것 같다.,10,1,1,10,목재
ID_10_NaturalResource,1001,Branch,0,건축에 사용하기는 힘들어 보인다.,5,1,1,5,나뭇가지
ID_10_NaturalResource,1002,DriftWood,0,부분 부분 썩어 있다.,15,1,1,15,썩은 나무
ID_10_NaturalResource,1003,FoxWoodSeed,2,여우들이 머물던 숲에서 발견할 수 있다.,1000,1,1,1,씨앗
ID_10_NaturalResource,1004,FoxheartWood,3,붉은 나무가 마치 심장처럼 생겼다.,5000,1,1,10,나무심장
ID_10_NaturalResource,1005,Sprigroot,1,작지만 생명력이 넘친다.,100,1,1,3,새싹
ID_10_NaturalResource,1006,Sapling,2,아직 작고 어린 나무입니다.,1000,1,2,10,묘목
ID_10_NaturalResource,1007,ErdSeed,3,고대 생명이 깃든 신비한 씨앗,10000,1,1,1,세계수 씨앗
ID_10_NaturalResource,1008,ErdBranch,4,세계수에서 떨어진 가지. 여전히 세계수의 기운이 느껴진다.,20000,2,1,5,세계수 가지
ID_10_NaturalResource,1009,ErdWood,5,세계수에서 구한 원목. 이걸 어떻게 구했는지는 아직도 알려지지 않았다.,100000,3,2,10,세계수 원목
ID_10_NaturalResource,1010,Stone,0,길거리에서 흔히 볼 수 있는 돌,100,1,1,20,돌
,1011,,,,,,,,
,1012,,,,,,,,
,1013,,,,,,,,
,1014,,,,,,,,
,1015,,,,,,,,
,1016,,,,,,,,
,1017,,,,,,,,
,1018,,,,,,,,
,1019,,,,,,,,
,1020,,,,,,,,
,1021,,,,,,,,
,1022,,,,,,,,
,1023,,,,,,,,
,1024,,,,,,,,
,1025,,,,,,,,
,1026,,,,,,,,
,1027,,,,,,,,
,1028,,,,,,,,
,1029,,,,,,,,
,1030,,,,,,,,
,1031,,,,,,,,
,1032,,,,,,,,
,1033,,,,,,,,
,1034,,,,,,,,
,1035,,,,,,,,
,1036,,,,,,,,
,1037,,,,,,,,
,1038,,,,,,,,
,1039,,,,,,,,
,1040,,,,,,,,
,1041,,,,,,,,
,1042,,,,,,,,
,1043,,,,,,,,
,1044,,,,,,,,
,1045,,,,,,,,
,1046,,,,,,,,
,1047,,,,,,,,
,1048,,,,,,,,
,1049,,,,,,,,
,1050,,,,,,,,
,1051,,,,,,,,
,1052,,,,,,,,
,1053,,,,,,,,
,1054,,,,,,,,
,1055,,,,,,,,
,1056,,,,,,,,
,1057,,,,,,,,
,1058,,,,,,,,
,1059,,,,,,,,
,1060,,,,,,,,
,1061,,,,,,,,
,1062,,,,,,,,
,1063,,,,,,,,
,1064,,,,,,,,
,1065,,,,,,,,
,1066,,,,,,,,
,1067,,,,,,,,
,1068,,,,,,,,
,1069,,,,,,,,
,1070,,,,,,,,
,1071,,,,,,,,
,1072,,,,,,,,
,1073,,,,,,,,
,1074,,,,,,,,
,1075,,,,,,,,
,1076,,,,,,,,
,1077,,,,,,,,
,1078,,,,,,,,
,1079,,,,,,,,
ID_10_NaturalResource,1080,Diamond,5,값비싼 보석이다.,1000000,1,1,1,다이아몬드
ID_10_NaturalResource,1081,RawIron,1,철 원석이다 석탄과 함께 조합해 주괴로 만들자,2000,1,1,1,철원석
ID_10_NaturalResource,1082,RawGold,2,금 원석이다 석탄과 함께 조합해 주괴로 만들자,5000,1,1,1,금원석
,1083,,,,,,,,
,1084,,,,,,,,
,1085,,,,,,,,
,1086,,,,,,,,
,1087,,,,,,,,
,1088,,,,,,,,
ID_10_NaturalResource,1089,Coal,1,원석을 주괴로 만들때 사용한다.,2000,1,1,1,석탄
ID_10_NaturalResource,1090,Engine,5,기계에서 심장역할을 하는 부품이다. ,50000,2,2,30,엔진
ID_10_NaturalResource,1091,Battery,2,배터리이다. 아직 사용할 수 있을 것 같다.,1300,1,1,2,배터리
,1092,,,,,,,,
,1093,,,,,,,,
,1094,,,,,,,,
,1095,,,,,,,,
,1096,,,,,,,,
,1097,,,,,,,,
,1098,,,,,,,,
,1099,,,,,,,,
ID_11_HuntingMaterials,1100,SoftPelt,0,부드러운 가죽이다,100,1,1,20,부드러운 가죽
ID_11_HuntingMaterials,1101,RoughHide,1,다소 거친 가죽이다. ,2000,1,1,20,거친 가죽
ID_11_HuntingMaterials,1102,SuperiorLeather,2,희귀한 가죽이다. 단단해 다루기 어려워 보인다.,8000,1,1,20,단단한 가죽
,1103,,,,,,,,
,1104,,,,,,,,
,1105,,,,,,,,
,1106,,,,,,,,
,1107,,,,,,,,
,1108,,,,,,,,
,1109,,,,,,,,
